    0 <= x <= 30    ; y =     63.0000 +      0.6000 x ; interpolation
   30 <= x <= 60    ; y =     99.0000 +     -0.6000 x ; interpolation
   60 <= x <= 90    ; y =     25.0000 +      0.6333 x ; interpolation
   90 <= x <= 120   ; y =    121.0000 +     -0.4333 x ; interpolation
  120 <= x <= 150   ; y =     21.0000 +      0.4000 x ; interpolation
  150 <= x <= 180   ; y =     96.0000 +     -0.1000 x ; interpolation
  180 <= x <= 210   ; y =     42.0000 +      0.2000 x ; interpolation
  210 <= x <= 240   ; y =    133.0000 +     -0.2333 x ; interpolation
  240 <= x <= 270   ; y =     45.0000 +      0.1333 x ; interpolation
  270 <= x <= 300   ; y =     99.0000 +     -0.0667 x ; interpolation
  300 <= x <= 330   ; y =    189.0000 +     -0.3667 x ; interpolation
  330 <= x <= 360   ; y =    -97.0000 +      0.5000 x ; interpolation
  360 <= x <= 390   ; y =    275.0000 +     -0.5333 x ; interpolation
  390 <= x <= 420   ; y =     67.0000 +      0.0000 x ; interpolation
  420 <= x <= 450   ; y =   -157.0000 +      0.5333 x ; interpolation
  450 <= x <= 480   ; y =     83.0000 +      0.0000 x ; interpolation
  480 <= x <= 510   ; y =    339.0000 +     -0.5333 x ; interpolation
  510 <= x <= 540   ; y =     67.0000 +      0.0000 x ; interpolation
  540 <= x <= 570   ; y =   -221.0000 +      0.5333 x ; interpolation
  570 <= x <= 600   ; y =    406.0000 +     -0.5667 x ; interpolation
  600 <= x <= 630   ; y =     26.0000 +      0.0667 x ; interpolation
  630 <= x <= 660   ; y =    110.0000 +     -0.0667 x ; interpolation
  660 <= x <= 690   ; y =   -374.0000 +      0.6667 x ; interpolation
  690 <= x <= 720   ; y =    201.0000 +     -0.1667 x ; interpolation
  720 <= x <= 750   ; y =    393.0000 +     -0.4333 x ; interpolation
  750 <= x <= 780   ; y =   -332.0000 +      0.5333 x ; interpolation
  780 <= x <= 810   ; y =     84.0000 +      0.0000 x ; interpolation
  810 <= x <= 840   ; y =    111.0000 +     -0.0333 x ; interpolation
  840 <= x <= 870   ; y =     83.0000 +      0.0000 x ; interpolation
  870 <= x <= 900   ; y =    141.0000 +     -0.0667 x ; interpolation
  900 <= x <= 930   ; y =    -69.0000 +      0.1667 x ; interpolation
  930 <= x <= 960   ; y =    179.0000 +     -0.1000 x ; interpolation
  960 <= x <= 990   ; y =     51.0000 +      0.0333 x ; interpolation
  990 <= x <= 1020  ; y =    117.0000 +     -0.0333 x ; interpolation
 1020 <= x <= 1050  ; y =    627.0000 +     -0.5333 x ; interpolation
 1050 <= x <= 1080  ; y =    137.0000 +     -0.0667 x ; interpolation
 1080 <= x <= 1110  ; y =   -583.0000 +      0.6000 x ; interpolation
 1110 <= x <= 1140  ; y =    157.0000 +     -0.0667 x ; interpolation
 1140 <= x <= 1170  ; y =     43.0000 +      0.0333 x ; interpolation
 1170 <= x <= 1200  ; y =     82.0000 +      0.0000 x ; interpolation
 1200 <= x <= 1230  ; y =    202.0000 +     -0.1000 x ; interpolation
 1230 <= x <= 1260  ; y =   -126.0000 +      0.1667 x ; interpolation
 1260 <= x <= 1290  ; y =    126.0000 +     -0.0333 x ; interpolation
 1290 <= x <= 1320  ; y =    126.0000 +     -0.0333 x ; interpolation
 1320 <= x <= 1350  ; y =    742.0000 +     -0.5000 x ; interpolation
 1350 <= x <= 1380  ; y =    112.0000 +     -0.0333 x ; interpolation
 1380 <= x <= 1410  ; y =    -26.0000 +      0.0667 x ; interpolation
 1410 <= x <= 1440  ; y =   -402.0000 +      0.3333 x ; interpolation
 1440 <= x <= 1470  ; y =   -210.0000 +      0.2000 x ; interpolation
 1470 <= x <= 1500  ; y =    231.0000 +     -0.1000 x ; interpolation
 1500 <= x <= 1530  ; y =   1131.0000 +     -0.7000 x ; interpolation
 1530 <= x <= 1560  ; y =   -144.0000 +      0.1333 x ; interpolation
 1560 <= x <= 1590  ; y =   -872.0000 +      0.6000 x ; interpolation
 1590 <= x <= 1620  ; y =     82.0000 +      0.0000 x ; interpolation
 1620 <= x <= 1650  ; y =     28.0000 +      0.0333 x ; interpolation
 1650 <= x <= 1680  ; y =   1073.0000 +     -0.6000 x ; interpolation
