 2490 <= x <= 2520  ; y =    224.0000 +     -0.0667 x ; interpolation
 2520 <= x <= 2550  ; y =    -28.0000 +      0.0333 x ; interpolation
 2550 <= x <= 2580  ; y =  -1303.0000 +      0.5333 x ; interpolation
 2580 <= x <= 2610  ; y =    245.0000 +     -0.0667 x ; interpolation
 2610 <= x <= 2640  ; y =   1811.0000 +     -0.6667 x ; interpolation
 2640 <= x <= 2670  ; y =   -565.0000 +      0.2333 x ; interpolation
 2670 <= x <= 2700  ; y =  -1277.0000 +      0.5000 x ; interpolation
 2700 <= x <= 2730  ; y =    253.0000 +     -0.0667 x ; interpolation
 2730 <= x <= 2760  ; y =     71.0000 +      0.0000 x ; interpolation
 2760 <= x <= 2790  ; y =    255.0000 +     -0.0667 x ; interpolation
 2790 <= x <= 2820  ; y =   1371.0000 +     -0.4667 x ; interpolation
 2820 <= x <= 2850  ; y =   -227.0000 +      0.1000 x ; interpolation
 2850 <= x <= 2880  ; y =  -1177.0000 +      0.4333 x ; interpolation
 2880 <= x <= 2910  ; y =   1319.0000 +     -0.4333 x ; interpolation
 2910 <= x <= 2940  ; y =  -1397.0000 +      0.5000 x ; interpolation
 2940 <= x <= 2970  ; y =    269.0000 +     -0.0667 x ; interpolation
 2970 <= x <= 3000  ; y =     71.0000 +      0.0000 x ; interpolation
 3000 <= x <= 3030  ; y =     71.0000 +      0.0000 x ; interpolation
 3030 <= x <= 3060  ; y =     71.0000 +      0.0000 x ; interpolation
 3060 <= x <= 3090  ; y =     71.0000 +      0.0000 x ; interpolation
 3090 <= x <= 3120  ; y =   -238.0000 +      0.1000 x ; interpolation
 3120 <= x <= 3150  ; y =    282.0000 +     -0.0667 x ; interpolation
 3150 <= x <= 3180  ; y =   1647.0000 +     -0.5000 x ; interpolation
 3180 <= x <= 3210  ; y =  -1427.0000 +      0.4667 x ; interpolation
 3210 <= x <= 3240  ; y =   1676.0000 +     -0.5000 x ; interpolation
 3240 <= x <= 3270  ; y =   -160.0000 +      0.0667 x ; interpolation
 3270 <= x <= 3300  ; y =  -1359.0000 +      0.4333 x ; interpolation
 3300 <= x <= 3330  ; y =    181.0000 +     -0.0333 x ; interpolation
 3330 <= x <= 3360  ; y =   -263.0000 +      0.1000 x ; interpolation
 3360 <= x <= 3390  ; y =    -39.0000 +      0.0333 x ; interpolation
 3390 <= x <= 3420  ; y =     74.0000 +      0.0000 x ; interpolation
 3420 <= x <= 3450  ; y =    188.0000 +     -0.0333 x ; interpolation
 3450 <= x <= 3480  ; y =    188.0000 +     -0.0333 x ; interpolation
 3480 <= x <= 3510  ; y =   1580.0000 +     -0.4333 x ; interpolation
 3510 <= x <= 3540  ; y =  -1462.0000 +      0.4333 x ; interpolation
 3540 <= x <= 3570  ; y =    308.0000 +     -0.0667 x ; interpolation
 3570 <= x <= 3600  ; y =   -287.0000 +      0.1000 x ; interpolation
 3600 <= x <= 3630  ; y =    793.0000 +     -0.2000 x ; interpolation
 3630 <= x <= 3660  ; y =   -780.0000 +      0.2333 x ; interpolation
 3660 <= x <= 3690  ; y =    684.0000 +     -0.1667 x ; interpolation
 3690 <= x <= 3720  ; y =   -546.0000 +      0.1667 x ; interpolation
 3720 <= x <= 3750  ; y =    446.0000 +     -0.1000 x ; interpolation
 3750 <= x <= 3780  ; y =   1946.0000 +     -0.5000 x ; interpolation
 3780 <= x <= 3810  ; y =  -2086.0000 +      0.5667 x ; interpolation
 3810 <= x <= 3840  ; y =     73.0000 +      0.0000 x ; interpolation
 3840 <= x <= 3870  ; y =    457.0000 +     -0.1000 x ; interpolation
 3870 <= x <= 3900  ; y =   1876.0000 +     -0.4667 x ; interpolation
 3900 <= x <= 3930  ; y =    -74.0000 +      0.0333 x ; interpolation
 3930 <= x <= 3960  ; y =  -2039.0000 +      0.5333 x ; interpolation
 3960 <= x <= 3990  ; y =    469.0000 +     -0.1000 x ; interpolation
 3990 <= x <= 4020  ; y =   2065.0000 +     -0.5000 x ; interpolation
 4020 <= x <= 4050  ; y =   -213.0000 +      0.0667 x ; interpolation
 4050 <= x <= 4080  ; y =  -1698.0000 +      0.4333 x ; interpolation
 4080 <= x <= 4110  ; y =    206.0000 +     -0.0333 x ; interpolation
 4110 <= x <= 4140  ; y =   1713.0000 +     -0.4000 x ; interpolation
 4140 <= x <= 4170  ; y =  -2151.0000 +      0.5333 x ; interpolation
 4170 <= x <= 4200  ; y =    629.0000 +     -0.1333 x ; interpolation
 4200 <= x <= 4230  ; y =   2169.0000 +     -0.5000 x ; interpolation
 4230 <= x <= 4260  ; y =  -2625.0000 +      0.6333 x ; interpolation
 4260 <= x <= 4290  ; y =     73.0000 +      0.0000 x ; interpolation
 4290 <= x <= 4320  ; y =   2790.0000 +     -0.6333 x ; interpolation
 4320 <= x <= 4350  ; y =   -378.0000 +      0.1000 x ; interpolation
 4350 <= x <= 4380  ; y =  -2408.0000 +      0.5667 x ; interpolation
 4380 <= x <= 4410  ; y =   3140.0000 +     -0.7000 x ; interpolation
 4410 <= x <= 4440  ; y =   4316.0000 +     -0.9667 x ; interpolation
 4440 <= x <= 4470  ; y =  -4860.0000 +      1.1000 x ; interpolation
 4470 <= x <= 4500  ; y =    504.0000 +     -0.1000 x ; interpolation
 4500 <= x <= 4530  ; y =  -2046.0000 +      0.4667 x ; interpolation
 4530 <= x <= 4560  ; y =   -687.0000 +      0.1667 x ; interpolation
 4560 <= x <= 4590  ; y =    833.0000 +     -0.1667 x ; interpolation
 4590 <= x <= 4620  ; y =   -544.0000 +      0.1333 x ; interpolation
 4620 <= x <= 4650  ; y =    688.0000 +     -0.1333 x ; interpolation
 4650 <= x <= 4680  ; y =   -707.0000 +      0.1667 x ; interpolation
 4680 <= x <= 4710  ; y =    697.0000 +     -0.1333 x ; interpolation
 4710 <= x <= 4740  ; y =   -716.0000 +      0.1667 x ; interpolation
 4740 <= x <= 4770  ; y =    390.0000 +     -0.0667 x ; interpolation
 4770 <= x <= 4800  ; y =   2775.0000 +     -0.5667 x ; interpolation
 4800 <= x <= 4830  ; y =  -2825.0000 +      0.6000 x ; interpolation
 4830 <= x <= 4860  ; y =   2971.0000 +     -0.6000 x ; interpolation
 4860 <= x <= 4890  ; y =  -2213.0000 +      0.4667 x ; interpolation
 4890 <= x <= 4920  ; y =   2351.0000 +     -0.4667 x ; interpolation
 4920 <= x <= 4950  ; y =  -2569.0000 +      0.5333 x ; interpolation
 4950 <= x <= 4980  ; y =   2711.0000 +     -0.5333 x ; interpolation
 4980 <= x <= 5010  ; y =   -941.0000 +      0.2000 x ; interpolation
 5010 <= x <= 5040  ; y =  -1609.0000 +      0.3333 x ; interpolation
 5040 <= x <= 5070  ; y =   1919.0000 +     -0.3667 x ; interpolation
 5070 <= x <= 5100  ; y =  -2137.0000 +      0.4333 x ; interpolation
 5100 <= x <= 5130  ; y =   1093.0000 +     -0.2000 x ; interpolation
 5130 <= x <= 5160  ; y =   2119.0000 +     -0.4000 x ; interpolation
 5160 <= x <= 5190  ; y =  -3041.0000 +      0.6000 x ; interpolation
 5190 <= x <= 5220  ; y =   3014.0000 +     -0.5667 x ; interpolation
 5220 <= x <= 5250  ; y =    230.0000 +     -0.0333 x ; interpolation
 5250 <= x <= 5280  ; y =     55.0000 +      0.0000 x ; interpolation
 5280 <= x <= 5310  ; y =   -825.0000 +      0.1667 x ; interpolation
 5310 <= x <= 5340  ; y =  -2241.0000 +      0.4333 x ; interpolation
 5340 <= x <= 5370  ; y =   2031.0000 +     -0.3667 x ; interpolation
 5370 <= x <= 5400  ; y =  -1728.0000 +      0.3333 x ; interpolation
 5400 <= x <= 5430  ; y =   2052.0000 +     -0.3667 x ; interpolation
 5430 <= x <= 5460  ; y =  -1749.0000 +      0.3333 x ; interpolation
 5460 <= x <= 5490  ; y =   1527.0000 +     -0.2667 x ; interpolation
 5490 <= x <= 5520  ; y =   1527.0000 +     -0.2667 x ; interpolation
 5520 <= x <= 5550  ; y =  -3257.0000 +      0.6000 x ; interpolation
 5550 <= x <= 5580  ; y =   2848.0000 +     -0.5000 x ; interpolation
 5580 <= x <= 5610  ; y =  -2360.0000 +      0.4333 x ; interpolation
 5610 <= x <= 5640  ; y =   3063.0000 +     -0.5333 x ; interpolation
 5640 <= x <= 5670  ; y =  -3329.0000 +      0.6000 x ; interpolation
 5670 <= x <= 5700  ; y =    640.0000 +     -0.1000 x ; interpolation
 5700 <= x <= 5730  ; y =   3300.0000 +     -0.5667 x ; interpolation
 5730 <= x <= 5760  ; y =  -3958.0000 +      0.7000 x ; interpolation
 5760 <= x <= 5790  ; y =   3722.0000 +     -0.6333 x ; interpolation
 5790 <= x <= 5820  ; y =  -3612.0000 +      0.6333 x ; interpolation
 5820 <= x <= 5850  ; y =   3954.0000 +     -0.6667 x ; interpolation
 5850 <= x <= 5880  ; y =  -3846.0000 +      0.6667 x ; interpolation
 5880 <= x <= 5910  ; y =   3994.0000 +     -0.6667 x ; interpolation
 5910 <= x <= 5940  ; y =  -3492.0000 +      0.6000 x ; interpolation
 5940 <= x <= 5970  ; y =   -126.0000 +      0.0333 x ; interpolation
 5970 <= x <= 6000  ; y =    471.0000 +     -0.0667 x ; interpolation
 6000 <= x <= 6030  ; y =   3271.0000 +     -0.5333 x ; interpolation
 6030 <= x <= 6060  ; y =  -3563.0000 +      0.6000 x ; interpolation
 6060 <= x <= 6090  ; y =   3911.0000 +     -0.6333 x ; interpolation
 6090 <= x <= 6120  ; y =  -3397.0000 +      0.5667 x ; interpolation
 6120 <= x <= 6150  ; y =     71.0000 +      0.0000 x ; interpolation
 6150 <= x <= 6180  ; y =     71.0000 +      0.0000 x ; interpolation
 6180 <= x <= 6210  ; y =   -547.0000 +      0.1000 x ; interpolation
 6210 <= x <= 6240  ; y =   4007.0000 +     -0.6333 x ; interpolation
 6240 <= x <= 6270  ; y =  -3481.0000 +      0.5667 x ; interpolation
 6270 <= x <= 6300  ; y =   3416.0000 +     -0.5333 x ; interpolation
 6300 <= x <= 6330  ; y =  -2884.0000 +      0.4667 x ; interpolation
 6330 <= x <= 6360  ; y =   3235.0000 +     -0.5000 x ; interpolation
 6360 <= x <= 6390  ; y =  -3549.0000 +      0.5667 x ; interpolation
 6390 <= x <= 6420  ; y =   -141.0000 +      0.0333 x ; interpolation
 6420 <= x <= 6450  ; y =    501.0000 +     -0.0667 x ; interpolation
 6450 <= x <= 6480  ; y =    501.0000 +     -0.0667 x ; interpolation
 6480 <= x <= 6510  ; y =   3093.0000 +     -0.4667 x ; interpolation
 6510 <= x <= 6540  ; y =  -3851.0000 +      0.6000 x ; interpolation
 6540 <= x <= 6570  ; y =   3997.0000 +     -0.6000 x ; interpolation
 6570 <= x <= 6600  ; y =  -3668.0000 +      0.5667 x ; interpolation
 6600 <= x <= 6630  ; y =   3812.0000 +     -0.5667 x ; interpolation
 6630 <= x <= 6660  ; y =   -166.0000 +      0.0333 x ; interpolation
 6660 <= x <= 6690  ; y =  -3718.0000 +      0.5667 x ; interpolation
 6690 <= x <= 6720  ; y =    742.0000 +     -0.1000 x ; interpolation
 6720 <= x <= 6750  ; y =   3430.0000 +     -0.5000 x ; interpolation
 6750 <= x <= 6780  ; y =    280.0000 +     -0.0333 x ; interpolation
 6780 <= x <= 6810  ; y =   5704.0000 +     -0.8333 x ; interpolation
 6810 <= x <= 6840  ; y =    710.0000 +     -0.1000 x ; interpolation
 6840 <= x <= 6870  ; y =  -9094.0000 +      1.3333 x ; interpolation
 6870 <= x <= 6900  ; y =   -621.0000 +      0.1000 x ; interpolation
 6900 <= x <= 6930  ; y =   -621.0000 +      0.1000 x ; interpolation
 6930 <= x <= 6960  ; y =    303.0000 +     -0.0333 x ; interpolation
 6960 <= x <= 6990  ; y =    303.0000 +     -0.0333 x ; interpolation
 6990 <= x <= 7020  ; y =    303.0000 +     -0.0333 x ; interpolation
 7020 <= x <= 7050  ; y =   2175.0000 +     -0.3000 x ; interpolation
 7050 <= x <= 7080  ; y =  -1350.0000 +      0.2000 x ; interpolation
 7080 <= x <= 7110  ; y =  -1586.0000 +      0.2333 x ; interpolation
 7110 <= x <= 7140  ; y =   3865.0000 +     -0.5333 x ; interpolation
 7140 <= x <= 7170  ; y =  -3989.0000 +      0.5667 x ; interpolation
 7170 <= x <= 7200  ; y =    791.0000 +     -0.1000 x ; interpolation
 7200 <= x <= 7230  ; y =    551.0000 +     -0.0667 x ; interpolation
 7230 <= x <= 7260  ; y =   -895.0000 +      0.1333 x ; interpolation
 7260 <= x <= 7290  ; y =   4429.0000 +     -0.6000 x ; interpolation
 7290 <= x <= 7320  ; y =  -1403.0000 +      0.2000 x ; interpolation
 7320 <= x <= 7350  ; y =   1525.0000 +     -0.2000 x ; interpolation
 7350 <= x <= 7380  ; y =   -435.0000 +      0.0667 x ; interpolation
 7380 <= x <= 7410  ; y =  -3141.0000 +      0.4333 x ; interpolation
 7410 <= x <= 7440  ; y =   3775.0000 +     -0.5000 x ; interpolation
 7440 <= x <= 7470  ; y =  -4409.0000 +      0.6000 x ; interpolation
 7470 <= x <= 7500  ; y =    820.0000 +     -0.1000 x ; interpolation
 7500 <= x <= 7530  ; y =     70.0000 +      0.0000 x ; interpolation
 7530 <= x <= 7560  ; y =     70.0000 +      0.0000 x ; interpolation
 7560 <= x <= 7590  ; y =   3850.0000 +     -0.5000 x ; interpolation
 7590 <= x <= 7620  ; y =   -198.0000 +      0.0333 x ; interpolation
 7620 <= x <= 7650  ; y =  -4262.0000 +      0.5667 x ; interpolation
 7650 <= x <= 7680  ; y =    583.0000 +     -0.0667 x ; interpolation
 7680 <= x <= 7710  ; y =     71.0000 +      0.0000 x ; interpolation
 7710 <= x <= 7740  ; y =   -443.0000 +      0.0667 x ; interpolation
 7740 <= x <= 7770  ; y =   4975.0000 +     -0.6333 x ; interpolation
 7770 <= x <= 7800  ; y =   -464.0000 +      0.0667 x ; interpolation
 7800 <= x <= 7830  ; y =  -4104.0000 +      0.5333 x ; interpolation
 7830 <= x <= 7860  ; y =   3987.0000 +     -0.5000 x ; interpolation
 7860 <= x <= 7890  ; y =  -4397.0000 +      0.5667 x ; interpolation
 7890 <= x <= 7920  ; y =     74.0000 +      0.0000 x ; interpolation
 7920 <= x <= 7950  ; y =    866.0000 +     -0.1000 x ; interpolation
 7950 <= x <= 7980  ; y =     71.0000 +      0.0000 x ; interpolation
 7980 <= x <= 8010  ; y =   4327.0000 +     -0.5333 x ; interpolation
 8010 <= x <= 8040  ; y =  -3950.0000 +      0.5000 x ; interpolation
 8040 <= x <= 8070  ; y =   4626.0000 +     -0.5667 x ; interpolation
 8070 <= x <= 8100  ; y =  -5058.0000 +      0.6333 x ; interpolation
 8100 <= x <= 8130  ; y =   4122.0000 +     -0.5000 x ; interpolation
 8130 <= x <= 8160  ; y =   -485.0000 +      0.0667 x ; interpolation
 8160 <= x <= 8190  ; y =   1147.0000 +     -0.1333 x ; interpolation
 8190 <= x <= 8220  ; y =  -5132.0000 +      0.6333 x ; interpolation
 8220 <= x <= 8250  ; y =    622.0000 +     -0.0667 x ; interpolation
 8250 <= x <= 8280  ; y =   3922.0000 +     -0.4667 x ; interpolation
 8280 <= x <= 8310  ; y =  -4082.0000 +      0.5000 x ; interpolation
 8310 <= x <= 8340  ; y =   4505.0000 +     -0.5333 x ; interpolation
 8340 <= x <= 8370  ; y =  -4391.0000 +      0.5333 x ; interpolation
 8370 <= x <= 8400  ; y =    910.0000 +     -0.1000 x ; interpolation
 8400 <= x <= 8430  ; y =   4270.0000 +     -0.5000 x ; interpolation
 8430 <= x <= 8460  ; y =  -5003.0000 +      0.6000 x ; interpolation
 8460 <= x <= 8490  ; y =   2611.0000 +     -0.3000 x ; interpolation
 8490 <= x <= 8520  ; y =   3743.0000 +     -0.4333 x ; interpolation
 8520 <= x <= 8550  ; y =  -1369.0000 +      0.1667 x ; interpolation
 8550 <= x <= 8580  ; y =  -4219.0000 +      0.5000 x ; interpolation
 8580 <= x <= 8610  ; y =   4647.0000 +     -0.5333 x ; interpolation
 8610 <= x <= 8640  ; y =  -4824.0000 +      0.5667 x ; interpolation
 8640 <= x <= 8670  ; y =   3816.0000 +     -0.4333 x ; interpolation
 8670 <= x <= 8700  ; y =  -3987.0000 +      0.4667 x ; interpolation
 8700 <= x <= 8730  ; y =   6743.0000 +     -0.7667 x ; interpolation
 8730 <= x <= 8760  ; y =  -6061.0000 +      0.7000 x ; interpolation
 8760 <= x <= 8790  ; y =   4743.0000 +     -0.5333 x ; interpolation
 8790 <= x <= 8820  ; y =   -824.0000 +      0.1000 x ; interpolation
 8820 <= x <= 8850  ; y =  -3176.0000 +      0.3667 x ; interpolation
 8850 <= x <= 8880  ; y =  -1111.0000 +      0.1333 x ; interpolation
